Supplier_Name,Product_Name,Product_Url,Price,Lat,Lng
2B,Fresh Washing Machine 9 Kg Front Load Dd 7 Inverter,https://2b.com.eg/ar/fresh-automatic-washing-machine-9kg-dd-7-motion-inverter-1400rpm-black-16435.html,"19,299.00",30.04057,31.35198
Zanussi,Steammax Automatic Washing Machine 7 Kg Front Load Grey,https://www.zanussi.com.eg/appliances/washing-machines/zwf7221dl7/,"23,300.00",31.20148,29.91815
Unionaire,"Top Load Washing Machine 8Kg , Grey Color From Unioanire",https://unionaire.com/product/unioanire-top-load-washing-machine-8kg-gray-color/,"10,239.00",29.92926,30.8842
Lg,8Kg Lg Front Load Washing Machine With Stain Care,https://www.lg.com/eg_ar/washer-dryers/front-loading-washing-machines/f2t2tym1s/,"23,990.00",30.31202,31.73816
Elarabygroup,Hoover Washing Machine Half Automatic 12 Kg White Hw-Httn12Lwto,https://www.elarabygroup.com/en/hoover-washing-machine-half-automatic-12-kg-2-motors-white-hw-httn12lwto,"8,069.00",30.46713,31.18447
Sylndr,Toyota Corolla 2020,https://sylndr.com/en/car-details/063528bd-d137-47ae-8031-d87ecb42e719,"1,120,000.00",29.96883,31.36322
Hatla2Ee,Toyota Corolla 2020,https://eg.hatla2ee.com/en/car/toyota/corolla/6685784,"1,085,000.00",30.04774,31.23477
Dubizzle,2024 Toyota Land Crouiser Gxr,https://www.dubizzle.com.eg/en/ad/%D8%AA%D9%88%D9%8A%D9%88%D8%AA%D8%A7-%D9%84%D8%A7%D9%86%D8%AF-%D9%83%D8%B1%D9%88%D8%B2%D8%B1-2024-ID201935097.html,"1,250,000.00",31.21856,29.94976
Contactcars.,Toyota Fotuner,https://www.contactcars.com/en/used-cars/toyota-fortuner/b41209583364?status=Used&fuelType=gas,"3,750,000.00",30.0336,31.41
Yallamotor,Toyota Rush 1.5L,https://egypt.yallamotor.com/used-cars/toyota/rush/2019/used-toyota-rush-2019-cairo-1655791,"1,200,000.00",30.04685,31.23735
Bright Online,"Hp Pavillion 15X360 I7-1255U, 16Gb, 512Gb Ssd, 15.6",https://www.brightonline.co.ke/product/hp-pavillion-15x360-i7-1255u-16gb-512gb-ssd-15-6/,"155,000.00",-1.28423,36.82391
Kenya Computer Shop,"Hp 15-Fd0371Nia, Intel Core I7 1355U, 8Gb Ddr4 3200, 512Gb Pcie Nvme M.2 Ssd – 9Q920Ea",https://www.kenyacomputershop.co.ke/product/hp-15-fd0371nia-intel-core-i7-1355u-8gb-ddr4-3200-512gb-pcie-nvme-m-2-ssd-9q920ea/,"110,000.00",-1.28689,36.82688
Dove,Hp 15 Core I7 8Gb 512 Ssd Dw3203Nia,https://dovecomputers.co.ke/product/hp-15-core-i7-8gb-512-ssd-dw3203nia/,"101,000.00",-1.2817,36.82116
